,p0_random,p0_exact,p0_max,p0_minimax,p0_negascout,p0_mcts,p0_mixed
p1_random,0.9579591751098633,1.0468947887420654,0.6376690864562988,3.389777660369873,3.5545401573181152,5.824365615844727,1.8856163024902344
p1_exact,1.121520757675171,1.2664296627044678,0.7852218151092529,3.378093719482422,3.7440052032470703,5.77253532409668,2.0184507369995117
p1_max,0.7822608947753906,0.9000823497772217,0.7997033596038818,3.3655476570129395,3.5475926399230957,5.755004405975342,1.990433931350708
p1_minimax,3.61161208152771,3.580719470977783,3.261368751525879,6.969515085220337,7.296269178390503,9.720789909362793,4.944175720214844
p1_negascout,4.076995372772217,4.125576734542847,3.604607343673706,7.0397303104400635,7.628173112869263,9.602290153503418,5.200799226760864
p1_mcts,6.366034030914307,6.476414442062378,6.173875570297241,7.829259157180786,8.554256677627563,14.20426321029663,7.603818893432617
p1_mixed,2.166651487350464,2.248643398284912,1.9796528816223145,4.600605726242065,5.127568960189819,7.697688341140747,3.2998173236846924
