,p0_random,p0_exact,p0_max,p0_minimax,p0_negascout,p0_mcts,p0_mixed
p1_random,50.0,62.0,8.999999999999996,1.0000000000000009,0.0,3.0000000000000027,2.0000000000000018
p1_exact,52.0,50.0,5.000000000000004,0.0,0.0,4.0000000000000036,6.000000000000005
p1_max,95.0,98.0,43.00000000000001,2.0000000000000018,1.0000000000000009,54.0,19.999999999999996
p1_minimax,99.0,100.0,96.0,24.0,31.999999999999996,99.0,87.0
p1_negascout,100.0,98.0,98.0,27.0,37.0,98.0,86.0
p1_mcts,91.0,91.0,34.0,0.0,1.0000000000000009,42.00000000000001,18.000000000000004
p1_mixed,98.0,94.0,70.0,1.0000000000000009,6.000000000000005,69.0,29.000000000000004
